simulation_window,planning_window,num_agents,seed,status,returncode,completed_tasks,throughput_per_step,mean_solver_time,total_solver_time,planning_calls
1,10,32,15,ok,0,315,1.23046875,0.0027406875000000005,0.7016160000000001,256
1,10,32,16,ok,0,328,1.28125,0.0021630546875000016,0.5537420000000004,256
1,10,32,17,ok,0,304,1.1875,0.0037460078125000004,0.9589780000000001,256
1,10,32,18,ok,0,322,1.2578125,0.0025635585937500006,0.6562710000000002,256
1,10,32,19,ok,0,317,1.23828125,0.0031290156249999994,0.8010279999999999,256
1,10,64,10,ok,0,592,2.3125,0.019058488281249994,4.8789729999999984,256
1,10,64,11,ok,0,575,2.24609375,0.017231437500000005,4.411248000000001,256
1,10,64,12,ok,0,592,2.3125,0.01662708203125,4.256533,256
1,10,64,13,ok,0,603,2.35546875,0.01766282421875001,4.521683000000002,256
1,10,64,14,ok,0,577,2.25390625,0.017259562500000002,4.418448000000001,256
1,10,64,15,ok,0,581,2.26953125,0.016671871093750002,4.2679990000000005,256
1,10,64,16,ok,0,557,2.17578125,0.016501734375000007,4.224444000000002,256
1,10,64,17,ok,0,584,2.28125,0.01652253125,4.229768,256
1,10,64,18,ok,0,603,2.35546875,0.017164128906250006,4.394017000000002,256
1,10,64,19,ok,0,573,2.23828125,0.020605582031250014,5.2750290000000035,256
1,10,96,10,ok,0,799,3.12109375,0.07469528906249998,19.121993999999994,256
1,10,96,11,ok,0,744,2.90625,0.08464646093750004,21.66949400000001,256
1,10,96,12,ok,0,798,3.1171875,0.071821640625,18.38634,256
1,10,96,13,ok,0,798,3.1171875,0.076092984375,19.479804,256
1,10,96,14,ok,0,808,3.15625,0.06558514453125001,16.789797000000004,256
1,10,96,15,ok,0,793,3.09765625,0.07575386328125004,19.39298900000001,256
1,10,96,16,ok,0,788,3.078125,0.07286482812500002,18.653396000000004,256
1,10,96,17,ok,0,787,3.07421875,0.0707768554687501,18.118875000000024,256
1,10,96,18,ok,0,781,3.05078125,0.09594900390625002,24.562945000000006,256
1,10,96,19,ok,0,758,2.9609375,0.09611326562500003,24.604996000000007,256
1,10,128,10,ok,0,828,3.234375,0.38356210937500007,98.19190000000002,256
1,10,128,11,ok,0,908,3.546875,0.25141818749999995,64.36305599999999,256
1,10,128,12,ok,0,898,3.5078125,0.28336309375,72.540952,256
1,10,128,13,ok,0,938,3.6640625,0.2529944414062501,64.76657700000003,256
1,10,128,14,ok,0,854,3.3359375,0.3148213632812499,80.59426899999997,256
1,10,128,15,ok,0,957,3.73828125,0.233960671875,59.893932,256
1,10,128,16,ok,0,958,3.7421875,0.22949716406250004,58.75127400000001,256
1,10,128,17,ok,0,894,3.4921875,0.27819315624999985,71.21744799999996,256
1,10,128,18,ok,0,929,3.62890625,0.43245735546874997,110.70908299999999,256
1,10,128,19,ok,0,883,3.44921875,0.35373093750000006,90.55512000000002,256
1,10,160,10,ok,0,764,2.984375,0.94545934765625,242.037593,256
1,10,160,11,ok,0,958,3.7421875,0.6237455546875001,159.67886200000004,256
1,10,160,12,ok,0,814,3.1796875,0.8987512343749998,230.08031599999995,256
1,10,160,13,ok,0,726,2.8359375,0.9914381914062501,253.80817700000003,256
1,10,160,14,ok,0,693,2.70703125,1.1411066523437494,292.12330299999985,256
1,10,160,15,ok,0,806,3.1484375,0.86999628515625,222.719049,256
1,10,160,16,ok,0,885,3.45703125,0.7707925234375002,197.32288600000004,256
1,10,160,17,ok,0,829,3.23828125,0.77098341015625,197.371753,256
1,10,160,18,ok,0,804,3.140625,0.8497206835937496,217.5284949999999,256
1,10,160,19,ok,0,675,2.63671875,0.9959179023437503,254.95498300000008,256
1,10,192,10,ok,0,698,2.7265625,1.4644550781249999,374.90049999999997,256
1,10,192,11,ok,0,876,3.421875,1.2490262382812496,319.7507169999999,256
1,10,192,12,ok,0,798,3.1171875,1.3623581835937493,348.7636949999998,256
