simulation_window,planning_window,num_agents,seed,status,returncode,completed_tasks,throughput_per_step,mean_solver_time,total_solver_time,planning_calls
1,20,192,11,ok,0,587,2.29296875,1.2846677568627451,327.590278,255
1,20,192,12,ok,0,588,2.296875,2.0728271141732284,526.498087,254
1,20,192,13,ok,0,599,2.33984375,1.73603296484375,444.424439,256
1,20,192,14,ok,0,590,2.3046875,1.1005216249999998,281.73353599999996,256
1,20,192,15,ok,0,616,2.40625,1.0924809062499996,279.6751119999999,256
1,20,192,16,ok,0,570,2.2265625,2.3059599101562496,590.3257369999999,256
1,20,192,17,ok,0,621,2.42578125,1.035042367187499,264.97084599999977,256
1,20,192,18,ok,0,554,2.1640625,4.310091896000002,1077.5229740000004,250
1,20,192,19,ok,0,596,2.328125,1.6708284745098039,426.061261,255
1,20,224,10,ok,0,573,2.23828125,10.195909573275863,2365.4510210000003,232
1,20,224,11,ok,0,637,2.48828125,2.6950838437499987,689.9414639999997,256
1,20,224,12,ok,0,621,2.42578125,7.364117233480174,1671.6546119999996,227
1,20,224,13,ok,0,661,2.58203125,3.2294970745098053,823.5217540000003,255
1,20,224,14,ok,0,644,2.515625,3.39954151778656,860.0840039999997,253
1,20,224,15,ok,0,707,2.76171875,1.4959097499999998,382.95289599999995,256
1,20,224,16,ok,0,499,1.94921875,12.941049241666667,1552.925909,120
1,20,224,17,ok,0,612,2.390625,6.974038669565215,1604.0288939999994,230
1,20,224,18,ok,0,631,2.46484375,3.0862716171875,790.085534,256
1,20,224,19,ok,0,646,2.5234375,3.349400525490196,854.097134,255
5,5,96,10,ok,0,349,1.36328125,0.016125480769230767,0.838525,52
5,5,96,11,ok,0,344,1.34375,0.015040653846153848,0.7821140000000001,52
5,5,96,12,ok,0,352,1.375,0.017118730769230768,0.8901739999999999,52
5,5,96,13,ok,0,358,1.3984375,0.014941115384615391,0.7769380000000004,52
5,5,96,14,ok,0,347,1.35546875,0.015056500000000002,0.7829380000000001,52
