simulation_window,planning_window,num_agents,seed,status,returncode,completed_tasks,throughput_per_step,run_dir
1,10,64,17,ok,0,588,2.296875,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_64/seed_17
1,10,64,18,ok,0,583,2.27734375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_64/seed_18
1,10,64,19,ok,0,607,2.37109375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_64/seed_19
1,10,96,10,ok,0,757,2.95703125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_96/seed_10
1,10,96,11,ok,0,763,2.98046875,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_96/seed_11
1,10,96,12,ok,0,770,3.0078125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_96/seed_12
1,10,96,13,ok,0,768,3.0,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_96/seed_13
1,10,96,14,ok,0,774,3.0234375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_96/seed_14
1,10,96,15,ok,0,838,3.2734375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_96/seed_15
1,10,96,16,ok,0,792,3.09375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_96/seed_16
1,10,96,17,ok,0,785,3.06640625,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_96/seed_17
1,10,96,18,ok,0,796,3.109375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_96/seed_18
1,10,96,19,ok,0,795,3.10546875,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_96/seed_19
1,10,128,10,ok,0,903,3.52734375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_128/seed_10
1,10,128,11,ok,0,904,3.53125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_128/seed_11
1,10,128,12,ok,0,834,3.2578125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_128/seed_12
1,10,128,13,ok,0,917,3.58203125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_128/seed_13
