0.978943,417,832,362671,657832,3179,2480,20.8687,662,148,160,12
1.17077,406,805,455139,842932,3209,2519,21.0562,668,149,160,12
0.816437,412,824,268021,502791,3310,2597,21.6875,666,150,160,12
0.772798,407,813,272854,504738,3289,2577,21.5562,661,151,160,12
0.714373,374,748,253572,469944,3137,2518,20.6062,590,152,160,12
0.755505,406,810,271216,497654,3169,2513,20.8062,583,153,160,12
0.662305,391,780,232339,442512,3118,2540,20.4875,553,154,160,12
0.654039,372,743,213675,411508,3159,2508,20.7437,561,155,160,12
0.702241,374,748,248206,462476,3008,2445,19.8,487,156,160,12
0.716573,380,760,253722,481723,2998,2427,19.7375,469,157,160,12
0.738134,385,770,242285,466127,2985,2396,19.6562,469,158,160,12
1.02466,368,733,430128,748062,3126,2426,20.5375,485,159,160,12
1.1061,414,827,442151,762665,3167,2509,20.7937,560,160,160,12
0.91158,421,841,312769,581718,3174,2493,20.8375,526,161,160,12
1.25579,417,834,537439,946058,3182,2497,20.8875,517,162,160,12
0.87866,403,805,310452,572612,3104,2472,20.4,509,163,160,12
0.688647,361,722,245626,455212,2998,2423,19.7375,511,164,160,12
0.811395,388,777,263683,498458,3024,2440,19.9,534,165,160,12
0.664601,378,756,247537,445144,3004,2439,19.775,513,166,160,12
0.765417,393,786,283669,520022,3059,2411,20.1187,513,167,160,12
0.648792,353,706,236631,436767,2955,2400,19.4688,518,168,160,12
0.722732,380,760,269231,489872,3025,2435,19.9062,524,169,160,12
0.944695,388,776,389362,678661,3239,2543,21.2437,578,170,160,12
1.14364,416,832,444961,767303,3296,2583,21.6,582,171,160,12
1.50713,402,803,637851,1068855,3255,2538,21.3438,608,172,160,12
1.26793,367,732,537121,931835,3190,2503,20.9375,589,173,160,12
0.818296,372,744,330291,573061,3081,2456,20.2563,576,174,160,12
1.04381,350,698,457268,786244,3291,2565,21.5688,616,175,160,12
1.01444,404,808,435260,764057,3294,2584,21.5875,617,176,160,12
1.10023,430,860,443904,768056,3381,2623,22.1313,653,177,160,12
0.877274,401,802,334396,600588,3287,2644,21.5437,683,178,160,12
0.94831,396,790,356227,652126,3228,2562,21.175,663,179,160,12
1.03393,405,810,404717,718512,3351,2640,21.9438,695,180,160,12
1.10236,430,859,424377,738628,3420,2663,22.375,695,181,160,12
1.22803,414,828,512428,894109,3496,2725,22.85,742,182,160,12
1.23738,416,831,552093,957634,3453,2689,22.5813,696,183,160,12
1.13473,376,750,499125,884868,3367,2634,22.0437,675,184,160,12
1.26913,396,792,529380,899029,3510,2686,22.9375,683,185,160,12
1.05737,441,879,408800,733360,3421,2652,22.3813,695,186,160,12
1.20081,421,841,506903,885309,3341,2579,21.8813,669,187,160,12
1.70918,422,841,748136,1310669,3332,2586,21.825,640,188,160,12
0.800494,381,762,290154,528856,3315,2628,21.7188,631,189,160,12
1.06552,421,843,366501,678162,3350,2655,21.9375,667,190,160,12
1.23478,392,783,594779,978507,3448,2600,22.55,677,191,160,12
0.867539,361,720,335122,605353,3254,2570,21.3375,653,192,160,12
1.14486,413,826,478777,808167,3348,2615,21.925,675,193,160,12
0.890943,392,783,326217,601167,3204,2569,21.025,658,194,160,12
0.85217,367,735,328313,577294,3266,2590,21.4125,682,195,160,12
0.991184,395,789,336100,626894,3190,2540,20.9375,606,196,160,12
0.977224,377,754,363821,633823,3322,2594,21.7625,620,197,160,12
0.844591,397,795,282208,534815,3227,2586,21.1687,627,198,160,12
1.17659,420,839,424514,768713,3267,2611,21.4187,640,199,160,12
0.821947,384,766,296995,535875,3336,2620,21.85,650,200,160,12
1.03298,387,765,376132,674332,3174,2544,20.8375,628,201,160,12
0.792815,403,806,276458,513334,3272,2642,21.45,674,202,160,12
0.664925,373,747,211680,402649,3250,2634,21.3125,664,203,160,12
1.01107,390,780,161105,324268,3135,2584,20.5938,624,204,160,12
1.12571,368,737,189059,363056,3299,2711,21.6187,642,205,160,12
1.25036,389,778,222544,422492,3382,2804,22.1375,654,206,160,12
1.11062,359,718,189263,363474,3285,2692,21.5312,623,207,160,12
1.09359,342,684,218969,397649,3234,2662,21.2125,577,208,160,12
1.00581,334,668,207407,376593,3078,2572,20.2375,547,209,160,12
0.813225,303,606,152643,294450,3000,2511,19.75,506,210,160,12
0.865007,318,636,187403,346731,2876,2444,18.975,487,211,160,12
0.857821,304,608,178390,332885,2827,2369,18.6687,490,212,160,12
0.829669,336,672,219088,407966,2981,2501,19.6313,523,213,160,12
0.788641,335,670,302345,557178,3053,2533,20.0813,556,214,160,12
0.747377,366,730,292851,535481,3025,2509,19.9062,503,215,160,12
0.593768,358,717,226754,422602,3065,2520,20.1562,479,216,160,12
0.821056,347,689,331525,596958,3042,2490,20.0125,469,217,160,12
0.745619,354,708,267502,495598,3025,2446,19.9062,465,218,160,12
0.688763,343,684,261276,485220,2945,2404,19.4062,464,219,160,12
0.606448,328,656,215842,417366,3009,2462,19.8062,504,220,160,12
0.689109,324,649,290384,532618,2917,2373,19.2312,478,221,160,12
0.564247,313,626,205400,389645,2899,2369,19.1187,475,222,160,12
0.715098,353,706,274732,509971,3036,2456,19.975,538,223,160,12
0.954966,340,677,351659,659622,3114,2504,20.4625,578,224,160,12
