simulation_window,planning_window,num_agents,seed,status,returncode,completed_tasks,throughput_per_step,mean_solver_time,total_solver_time,planning_calls
1,10,128,17,ok,0,599,2.33984375,0.026145003906249995,6.693120999999999,256
1,10,128,18,ok,0,619,2.41796875,0.02399317968749998,6.142253999999995,256
1,10,128,19,ok,0,607,2.37109375,0.025319675781250002,6.4818370000000005,256
1,10,160,10,ok,0,736,2.875,0.04871353515625002,12.470665000000006,256
1,10,160,11,ok,0,739,2.88671875,0.04733374218749998,12.117437999999995,256
1,10,160,12,ok,0,772,3.015625,0.04500068750000004,11.52017600000001,256
1,10,160,13,ok,0,741,2.89453125,0.04430399999999997,11.341823999999992,256
1,10,160,14,ok,0,763,2.98046875,0.04573864843749998,11.709093999999995,256
1,10,160,15,ok,0,746,2.9140625,0.046575027343750026,11.923207000000007,256
1,10,160,16,ok,0,773,3.01953125,0.042259031250000016,10.818312000000004,256
1,10,160,17,ok,0,767,2.99609375,0.04215822656250003,10.792506000000008,256
1,10,160,18,ok,0,744,2.90625,0.048368019531250014,12.382213000000004,256
1,10,160,19,ok,0,764,2.984375,0.04881265625000002,12.496040000000004,256
1,10,192,10,ok,0,870,3.3984375,0.07938312109375002,20.322079000000006,256
1,10,192,11,ok,0,895,3.49609375,0.07560003515625008,19.35360900000002,256
1,10,192,12,ok,0,920,3.59375,0.08055894531250002,20.623090000000005,256
1,10,192,13,ok,0,877,3.42578125,0.07585357812499995,19.418515999999986,256
1,10,192,14,ok,0,895,3.49609375,0.07473308984374996,19.13167099999999,256
1,10,192,15,ok,0,891,3.48046875,0.07494547265624996,19.18604099999999,256
1,10,192,16,ok,0,910,3.5546875,0.07449845703125,19.071605,256
1,10,192,17,ok,0,889,3.47265625,0.07910538671875009,20.250979000000022,256
1,10,192,18,ok,0,883,3.44921875,0.07614844921874997,19.494002999999992,256
1,10,192,19,ok,0,903,3.52734375,0.07967302734375,20.396295,256
1,10,224,10,ok,0,1028,4.015625,0.12412150000000004,31.77510400000001,256
1,10,224,11,ok,0,1021,3.98828125,0.13025725390625004,33.34585700000001,256
1,10,224,12,ok,0,1006,3.9296875,0.13357263671875,34.194595,256
1,10,224,13,ok,0,990,3.8671875,0.13111085156250005,33.56437800000001,256
1,10,224,14,ok,0,1029,4.01953125,0.124999359375,31.999836,256
1,10,224,15,ok,0,1031,4.02734375,0.12446703515624999,31.863560999999997,256
1,10,224,16,ok,0,1057,4.12890625,0.12970989843749994,33.205733999999985,256
1,10,224,17,ok,0,1004,3.921875,0.13250225781249997,33.92057799999999,256
1,10,224,18,ok,0,1005,3.92578125,0.13347902734375008,34.17063100000002,256
1,10,224,19,ok,0,1003,3.91796875,0.13926111328125002,35.650845000000004,256
1,20,96,10,ok,0,458,1.7890625,0.022111855468749997,5.660634999999999,256
1,20,96,11,ok,0,455,1.77734375,0.021871550781249995,5.599116999999999,256
1,20,96,12,ok,0,488,1.90625,0.020254796875,5.185228,256
1,20,96,13,ok,0,466,1.8203125,0.019752152343750017,5.056551000000004,256
1,20,96,14,ok,0,463,1.80859375,0.019794523437499968,5.067397999999992,256
1,20,96,15,ok,0,460,1.796875,0.021331804687499994,5.460941999999998,256
1,20,96,16,ok,0,478,1.8671875,0.019753421875,5.056876,256
1,20,96,17,ok,0,474,1.8515625,0.020047847656249982,5.132248999999995,256
1,20,96,18,ok,0,463,1.80859375,0.021466910156250005,5.495529000000001,256
1,20,96,19,ok,0,468,1.828125,0.02055354296874999,5.261706999999998,256
1,20,128,10,ok,0,621,2.42578125,0.042918328124999926,10.987091999999981,256
1,20,128,11,ok,0,592,2.3125,0.04648289453125001,11.899621000000003,256
1,20,128,12,ok,0,622,2.4296875,0.045539328124999987,11.658067999999997,256
1,20,128,13,ok,0,598,2.3359375,0.04375783203125001,11.202005000000003,256
1,20,128,14,ok,0,633,2.47265625,0.04285167968749999,10.970029999999998,256
1,20,128,15,ok,0,618,2.4140625,0.04045630078125001,10.356813000000002,256
1,20,128,16,ok,0,654,2.5546875,0.03618229296875001,9.262667000000002,256
1,20,128,17,ok,0,601,2.34765625,0.04308097656249998,11.028729999999994,256
1,20,128,18,ok,0,612,2.390625,0.04330656250000003,11.086480000000007,256
1,20,128,19,ok,0,638,2.4921875,0.04111846875000004,10.52632800000001,256
1,20,160,10,ok,0,745,2.91015625,0.09231172265625003,23.631801000000006,256
1,20,160,11,ok,0,774,3.0234375,0.08116175390625005,20.777409000000013,256
1,20,160,12,ok,0,760,2.96875,0.09939318749999997,25.44465599999999,256
1,20,160,13,ok,0,746,2.9140625,0.09589902734375004,24.55015100000001,256
1,20,160,14,ok,0,759,2.96484375,0.08485791015625005,21.723625000000013,256
1,20,160,15,ok,0,753,2.94140625,0.08906673437500005,22.801084000000014,256
1,20,160,16,ok,0,744,2.90625,0.08675377734375003,22.20896700000001,256
1,20,160,17,ok,0,763,2.98046875,0.08534160546875004,21.84745100000001,256
1,20,160,18,ok,0,779,3.04296875,0.08825566406250009,22.593450000000022,256
1,20,160,19,ok,0,758,2.9609375,0.09039841406250003,23.141994000000008,256
1,20,192,10,ok,0,902,3.5234375,0.15943691406249996,40.81584999999999,256
1,20,192,11,ok,0,872,3.40625,0.17529578124999998,44.875719999999994,256
1,20,192,12,ok,0,905,3.53515625,0.1796960859375,46.002198,256
1,20,192,13,ok,0,873,3.41015625,0.17422905468750008,44.60263800000002,256
1,20,192,14,ok,0,884,3.453125,0.16669541406250005,42.67402600000001,256
1,20,192,15,ok,0,912,3.5625,0.16097940625000007,41.21072800000002,256
1,20,192,16,ok,0,906,3.5390625,0.148237203125,37.948724,256
1,20,192,17,ok,0,876,3.421875,0.17516674609375,44.842687,256
1,20,192,18,ok,0,861,3.36328125,0.17037828906249994,43.616841999999984,256
1,20,192,19,ok,0,905,3.53515625,0.16552025390624997,42.37318499999999,256
1,20,224,10,ok,0,1045,4.08203125,0.2839917148437498,72.70187899999995,256
1,20,224,11,ok,0,1009,3.94140625,0.30412139843749986,77.85507799999996,256
1,20,224,12,ok,0,1040,4.0625,0.3141071796874999,80.41143799999998,256
1,20,224,13,ok,0,1000,3.90625,0.28512281640625,72.991441,256
1,20,224,14,ok,0,1045,4.08203125,0.2747655546875,70.339982,256
1,20,224,15,ok,0,1037,4.05078125,0.27101924609374983,69.38092699999996,256
1,20,224,16,ok,0,1026,4.0078125,0.28444350781249983,72.81753799999996,256
1,20,224,17,ok,0,1044,4.078125,0.27416892578124985,70.18724499999996,256
1,20,224,18,ok,0,999,3.90234375,0.28048860937500014,71.80508400000004,256
1,20,224,19,ok,0,1038,4.0546875,0.2960085156249999,75.77817999999998,256
5,5,96,10,ok,0,479,1.87109375,0.008908288461538464,0.4632310000000001,52
5,5,96,11,ok,0,464,1.8125,0.00870567307692308,0.4526950000000001,52
5,5,96,12,ok,0,495,1.93359375,0.00920646153846154,0.47873600000000005,52
5,5,96,13,ok,0,447,1.74609375,0.00925853846153846,0.481444,52
5,5,96,14,ok,0,455,1.77734375,0.00926211538461538,0.48162999999999984,52
5,5,96,15,ok,0,470,1.8359375,0.008729153846153847,0.45391600000000004,52
5,5,96,16,ok,0,472,1.84375,0.008793153846153846,0.45724400000000004,52
5,5,96,17,ok,0,465,1.81640625,0.009253826923076925,0.4811990000000001,52
5,5,96,18,ok,0,474,1.8515625,0.009070538461538465,0.47166800000000014,52
5,5,96,19,ok,0,472,1.84375,0.00909421153846154,0.4728990000000001,52
5,5,128,10,ok,0,631,2.46484375,0.017891634615384615,0.930365,52
5,5,128,11,ok,0,600,2.34375,0.01790067307692308,0.9308350000000002,52
5,5,128,12,ok,0,649,2.53515625,0.016856634615384614,0.8765449999999999,52
5,5,128,13,ok,0,613,2.39453125,0.017588442307692305,0.9145989999999998,52
5,5,128,14,ok,0,617,2.41015625,0.01658646153846154,0.862496,52
5,5,128,15,ok,0,627,2.44921875,0.016830634615384612,0.8751929999999998,52
5,5,128,16,ok,0,620,2.421875,0.01685269230769231,0.8763400000000001,52
5,5,128,17,ok,0,597,2.33203125,0.017911596153846153,0.9314029999999999,52
5,5,128,18,ok,0,610,2.3828125,0.017753096153846157,0.9231610000000001,52
5,5,128,19,ok,0,626,2.4453125,0.017709557692307695,0.9208970000000002,52
5,5,160,10,ok,0,748,2.921875,0.03117769230769231,1.62124,52
5,5,160,11,ok,0,702,2.7421875,0.041166865384615385,2.140677,52
5,5,160,12,ok,0,793,3.09765625,0.029882999999999993,1.5539159999999996,52
